rank,team,ops
1,Los Angeles Dodgers,.787
2,Pittsburgh Pirates,.762
3,Washington Nationals,.757
4,Colorado Rockies,.755
5,Chicago Cubs,.747
6,Miami Marlins,.741
7,Minnesota Twins,.739
8,Chicago White Sox,.738
9,Athletics,.736
10,New York Yankees,.735
11,Milwaukee Brewers,.733
12,San Francisco Giants,.732
13,Tampa Bay Rays,.729
14,Atlanta Braves,.727
14,Houston Astros,.727
16,St. Louis Cardinals,.719
17,Baltimore Orioles,.714
18,Detroit Tigers,.712
18,Texas Rangers,.712
20,Kansas City Royals,.708
20,Philadelphia Phillies,.708
22,Los Angeles Angels,.703
23,Boston Red Sox,.698
24,Cincinnati Reds,.697
25,Seattle Mariners,.694
26,Arizona Diamondbacks,.692
27,Toronto Blue Jays,.685
28,Cleveland Guardians,.680
28,New York Mets,.680
30,San Diego Padres,.671
